#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Helicobacter pylori B45,PRJNA80923,Proteobacteria,delta/epsilon subdivisions,1.62723,38.9743,NC_016568.1,JF734911.1,-,-,AFAO01,64,27,27,11/8/2011,8/8/2012,Complete
Erwinia amylovora LA636,PRJNA231918,Proteobacteria,Gammaproteobacteria,3.78987,50.6,-,-,NC_023071.1,HG793097.1,CBVT01,9,43,43,12/4/2013,12/17/2013,Complete
Erwinia amylovora LA635,PRJNA231917,Proteobacteria,Gammaproteobacteria,3.79102,50.2,-,-,NC_023055.1,HG793096.1,CBVS01,9,45,45,12/4/2013,12/17/2013,Complete
Erwinia amylovora LA637,PRJNA232255,Proteobacteria,Gammaproteobacteria,3.86955,57.4843,-,-,"NC_023056.1,NC_023072.1","HG793098.1,HG793099.1",CBVU01,10,134,134,12/12/2013,12/19/2013,Complete
Candidatus Tremblaya princeps PCVAL,PRJNA159519,Proteobacteria,Betaproteobacteria,0.138931,58.8,NC_017293.1,CP002918.1,-,-,-,1,155,116,7/19/2011,6/8/2013,Complete
Candidatus Tremblaya princeps PCIT,PRJNA68741,Proteobacteria,Betaproteobacteria,0.138927,58.8,NC_015736.1,CP002244.1,-,-,-,1,160,121,6/24/2011,6/14/2013,Complete
Candidatus Hodgkinia cicadicola Dsem,PRJNA59311,Proteobacteria,Alphaproteobacteria,0.143795,58.4,NC_012960.1,CP001226.1,-,-,-,1,189,169,7/13/2009,6/8/2013,Complete
Candidatus Carsonella ruddii PV,PRJNA58773,Proteobacteria,Gammaproteobacteria,0.159662,16.6,NC_008512.1,AP009180.1,-,-,-,1,213,182,10/17/2006,5/23/2013,Complete
Candidatus Tremblaya phenacola PAVE,PRJNA209173,Proteobacteria,Betaproteobacteria,0.1715,42.1004,NC_021555.1,CP003982.1,NC_021553.1,CP003983.1,-,2,214,175,6/20/2013,7/12/2013,Complete
Candidatus Carsonella ruddii HC isolate Thao2000,PRJNA172734,Proteobacteria,Gammaproteobacteria,0.166163,14.2,NC_018416.1,CP003543.1,-,-,-,1,223,192,8/13/2012,6/11/2013,Complete
Candidatus Zinderia insecticola CARI,PRJNA52459,Proteobacteria,Betaproteobacteria,0.208564,13.5,NC_014497.1,CP002161.1,-,-,-,1,236,206,9/9/2010,7/6/2013,Complete
Candidatus Carsonella ruddii DC,PRJNA39871,Proteobacteria,Gammaproteobacteria,0.174014,17.6,-,-,-,-,-,1,238,207,7/26/2013,9/6/2013,Complete
Candidatus Sulcia muelleri DMIN,PRJNA47075,Bacteroidetes/Chlorobi group,Bacteroidetes,0.243933,22.5,NC_014004.1,CP001981.1,-,-,-,1,261,226,3/31/2010,12/11/2013,Complete
Candidatus Sulcia muelleri GWSS,PRJNA58943,Bacteroidetes/Chlorobi group,Bacteroidetes,0.24553,22.4,NC_010118.1,CP000770.2,-,-,-,1,264,227,7/19/2007,6/14/2013,Complete
Candidatus Uzinura diaspidicola str. ASNER,PRJNA186740,Bacteroidetes/Chlorobi group,Bacteroidetes,0.263431,30.2,NC_020135.1,CP003263.1,-,-,-,1,272,227,1/17/2013,7/22/2013,Complete
Candidatus Sulcia muelleri SMDSEM,PRJNA59393,Bacteroidetes/Chlorobi group,Bacteroidetes,0.276984,22.6,NC_013123.1,CP001605.1,-,-,-,1,279,242,8/18/2009,6/10/2013,Complete
Candidatus Sulcia muelleri CARI,PRJNA52535,Bacteroidetes/Chlorobi group,Bacteroidetes,0.276511,21.1,NC_014499.1,CP002163.1,-,-,-,1,288,246,9/9/2010,7/6/2013,Complete
Candidatus Portiera aleyrodidarum BT-QVLC,PRJNA175570,Proteobacteria,Gammaproteobacteria,0.357472,26.1,NC_018618.1,CP003835.1,-,-,-,1,292,246,9/19/2012,6/11/2013,Complete
Candidatus Portiera aleyrodidarum BT-B-HRs,PRJNA173859,Proteobacteria,Gammaproteobacteria,0.358242,26.2,NC_018507.1,CP003708.1,-,-,-,1,296,256,8/22/2012,6/11/2013,Complete
Candidatus Portiera aleyrodidarum BT-B-HRs,PRJNA176373,Proteobacteria,Gammaproteobacteria,0.351658,26.2,NC_018677.1,CP003868.1,-,-,-,1,307,273,9/28/2012,1/30/2014,Complete
Candidatus Portiera aleyrodidarum TV,PRJNA195460,Proteobacteria,Gammaproteobacteria,0.280663,24.7,NC_020831.1,CP004358.1,-,-,-,1,307,269,3/29/2013,6/11/2013,Complete
Candidatus Portiera aleyrodidarum BT-QVLC,PRJNA176374,Proteobacteria,Gammaproteobacteria,0.350928,26.2,NC_018676.1,CP003867.1,-,-,-,1,314,280,9/28/2012,1/30/2014,Complete
